gene1,gene2,corr
TAL1,ACACB,0.6577265274257533
TAL1,LPL,0.6669132028739374
TAL1,EMCN,0.8238343515123793
TAL1,TCEAL7,0.6474773705119977
TAL1,AOC3,0.7943711411703995
TAL1,FAT4,0.6714470312663171
TAL1,PDK4,0.6779631172967809
TAL1,SYNE3,0.6899227523136824
TAL1,FHL5,0.6832000855523921
TAL1,GNG2,0.6677218579289699
TAL1,RASIP1,0.6131762855531555
TAL1,CXCL12,0.6249994843195064
TAL1,CDH5,0.8097497283420255
TAL1,FOXO1,0.6372358757510842
TAL1,ANGPT4,0.6982269457655683
TAL1,ACVRL1,0.7000801331663633
TAL1,CADM3-AS1,0.6307099665529727
TAL1,GIMAP6,0.6608361665519307
TAL1,AFAP1L1,0.7104232642155369
TAL1,ALDH1A1,0.6029273768364211
TAL1,HSPA12B,0.7059236962523912
TAL1,AKAP12,0.6791023015450554
TAL1,SRL,0.6754065220096821
TAL1,GIPC2,0.7430509078244335
TAL1,ACSM5,0.6049409624798524
TAL1,RAPGEF3,0.6051188182542032
TAL1,CORO2B,0.7194845751798427
TAL1,TPX2,0.6057379309421639
TAL1,ARHGEF15,0.8176477136980911
TAL1,BHMT2,0.6455200821536589
TAL1,ABCA8,0.7394253961377838
TAL1,ANK2,0.6735939592776236
TAL1,PRCD,0.6282929304520504
TAL1,TSPAN7,0.751649143089052
TAL1,NPR1,0.7638303400160664
TAL1,MEOX2,0.7249473240992269
TAL1,ACKR1,0.6069993835772688
TAL1,BMP6,0.6170779321582814
TAL1,SORBS1,0.6385926708171422
TAL1,ADAMTS9-AS1,0.7062427598361996
TAL1,CCDC3,0.6698938835099492
TAL1,BCL6B,0.6981297816178422
TAL1,KCNIP2,0.6613641879756966
TAL1,TIE1,0.7605369754767084
TAL1,HGF,0.6088243104734767
TAL1,KANK3,0.6901930479815696
TAL1,GPRASP1,0.6719917106672432
TAL1,SCN4A,0.6986789602412249
TAL1,EHD2,0.6376211191428639
TAL1,PROS1,0.6551945960326887
TAL1,THSD1,0.7669560452529293
TAL1,KIF26A,0.6046870589263125
TAL1,PPP1R12B,0.617307364368421
TAL1,RASL12,0.6016535707610753
TAL1,PDE1B,0.6236958197058854
TAL1,MCTP1,0.6769533016834379
TAL1,PLIN1,0.6604894076710622
TAL1,MYOM1,0.7147048645564634
TAL1,PYGM,0.656188994875301
TAL1,ENPP2,0.6843603453722155
TAL1,CYTL1,0.6421803313106932
TAL1,ZNF366,0.6063108504437765
TAL1,CYGB,0.6812034372632211
TAL1,CCDC69,0.6634772985552769
TAL1,GPR146,0.7141134535504818
TAL1,PDE1A,0.7153825470974264
TAL1,FHL1,0.7283081009763177
TAL1,NOTCH4,0.7829849990153541
TAL1,KCTD12,0.6539160154886526
TAL1,FXYD1,0.6147739747918257
TAL1,ANGPTL1,0.7272440658229696
TAL1,SCN3A,0.6091875720438588
TAL1,MYH11,0.7019087533217567
TAL1,PCSK5,0.6627424378214132
TAL1,FLI1,0.6789444235528568
TAL1,MEOX1,0.6394488763976536
TAL1,TMEM100,0.6514228992109783
TAL1,SLC17A7,0.6323226985742204
TAL1,PLIN4,0.6105112351289869
TAL1,GDF10,0.6340472066802002
TAL1,ICAM2,0.6478187490423304
TAL1,RUNDC3B,0.6166590609601242
TAL1,LGI4,0.7276229007519655
TAL1,LRRC70,0.6653236339952671
TAL1,TIMP4,0.6053397066400983
TAL1,ABCA6,0.6947274837724172
TAL1,SCARF1,0.6633799215479502
TAL1,NIPSNAP3B,0.6113211674639608
TAL1,FLRT2,0.6331706799482769
TAL1,MMRN1,0.7150933719033437
TAL1,ABCG2,0.6099538911224173
TAL1,SLIT3,0.6719955718978949
TAL1,IGFBP6,0.6028438308813251
TAL1,CLDN5,0.6984051122704201
TAL1,EBF2,0.7554708321225887
TAL1,EPAS1,0.6834796339501455
TAL1,PPARG,0.6776406034079046
TAL1,CD36,0.6498636016740073
TAL1,EBF1,0.7946514563986433
TAL1,SHANK3,0.6731152333234132
TAL1,ADRB2,0.6322167446053167
TAL1,ANKRD29,0.6386320354884432
TAL1,DNASE1L3,0.6139309691181672
TAL1,NEK2,0.6099746183831013
TAL1,NAALAD2,0.6078940077042003
TAL1,LINC01537,0.6661647600712279
TAL1,PDE2A,0.8298453905888041
TAL1,IGF1,0.6969848076178154
TAL1,TNS2,0.6249253145118866
TAL1,GJA4,0.6375301927267187
TAL1,FREM1,0.6249349199558931
TAL1,ARHGAP20,0.6628494596309205
TAL1,ITGA7,0.7246876834214405
TAL1,RBMS3,0.7001274709257591
TAL1,NR5A2,0.6494242939389862
TAL1,NDN,0.6314643311069282
TAL1,LOXHD1,0.6052824500628948
TAL1,ADAMTS1,0.6324841449304089
TAL1,F10,0.6382718309604111
TAL1,KL,0.6849958263409187
TAL1,EGR1,0.6050812247632307
TAL1,S1PR1,0.8278325394258826
TAL1,PLVAP,0.6070439009353511
TAL1,DLC1,0.7046375335131376
TAL1,SOX7,0.6611805980145613
TAL1,GALNT15,0.6198041040377248
TAL1,ZNF423,0.6255217503590317
TAL1,TNS1,0.7166435051484492
TAL1,CLEC14A,0.7577879373260158
TAL1,SLC35G2,0.6660894683731589
TAL1,LEPR,0.6853940173437865
TAL1,PLSCR4,0.6578807073560801
TAL1,ARHGAP6,0.6512263722919548
TAL1,ADH1B,0.6094352207922815
TAL1,ELK3,0.6736837750761635
TAL1,CUBN,0.6482347851498743
TAL1,ERG,0.8148646212682354
TAL1,RUNX1T1,0.6663580287875728
TAL1,FOSB,0.6071096010174004
TAL1,HSD17B13,0.6173223677215781
TAL1,FZD4,0.6603182308257073
TAL1,APOLD1,0.6637220064994975
TAL1,LMO2,0.623188878074877
TAL1,STARD8,0.7527523168308806
TAL1,GPD1,0.6299361026420576
TAL1,ABI3BP,0.6369916496163485
TAL1,LDLRAD2,0.6524212294137665
TAL1,ROBO4,0.7982629722830322
TAL1,CYYR1,0.644492253696688
TAL1,PLCXD3,0.6108694979326126
TAL1,SH2D3C,0.6551803245036663
TAL1,LHX6,0.6077763921619389
TAL1,TFPI,0.6361470340691279
TAL1,MMP28,0.6553258142463787
TAL1,PECAM1,0.7704828819710761
TAL1,JAM2,0.7844448316545554
TAL1,ADAMTS5,0.6057468086859589
TAL1,TXNIP,0.636574109886097
TAL1,C7,0.6234936549031238
TAL1,ADAM33,0.6986614108795832
TAL1,TDRD10,0.6379072263890312
TAL1,SHROOM4,0.6854188297258447
TAL1,USHBP1,0.7884965579265256
TAL1,FLT4,0.6989177392593153
TAL1,THSD7A,0.6351010198533755
TAL1,ABCA10,0.6878020713274143
TAL1,PDGFD,0.6489501152586248
TAL1,PRDM16,0.6167392982134041
TAL1,CLIC2,0.6016489606030224
TAL1,ABCC9,0.6401772609705777
TAL1,ALDH1L1,0.6309563851185952
TAL1,SCN4B,0.7287222892530176
TAL1,FABP4,0.6708501754693045
TAL1,PCAT19,0.6438831403539212
TAL1,TMEM132C,0.6044890574209671
TAL1,HSPB6,0.7186680309565352
TAL1,ASPA,0.7283184600911984
TAL1,MMRN2,0.8008426103428707
TAL1,GNG11,0.7697405979276009
TAL1,ABCA9,0.6812959834751017
TAL1,TBX15,0.6540915728560209
TAL1,TNXB,0.7638290547252611
TAL1,SPRY1,0.7319985174028062
TAL1,MOCS1,0.6030610717089241
TAL1,TMEM88,0.6562495600908279
TAL1,HSPB7,0.6365699240875154
TAL1,ZCCHC24,0.6616112858889748
TAL1,AVPR2,0.7311183443055891
TAL1,FAM124B,0.726492931360495
TAL1,EGFLAM,0.6463971389558857
TAL1,MFNG,0.6019588324421378
TAL1,PREX2,0.7676851845175401
TAL1,KLF2,0.6520104777877267
TAL1,ZFP36,0.6040655910419027
TAL1,MAMDC2,0.6168770933199766
TAL1,GSN,0.6502678898846037
TAL1,RHOJ,0.7752510853097833
TAL1,TEK,0.7927935286263618
TAL1,GIMAP8,0.7251874783062519
