gene1,gene2,corr
IL6ST,IL6ST,0.6015937202672226
IL6ST,IL6ST,0.7096281644499149
IL6ST,IL6ST,0.6233357799285509
IL6ST,IL6ST,0.6988426174499534
IL6ST,IL6ST,0.632066525376368
IL6ST,IL6ST,0.6534827950496642
IL6ST,IL6ST,0.6318165525293891
IL6ST,IL6ST,0.6195761824207605
IL6ST,IL6ST,0.6295963150895434
IL6ST,IL6ST,0.6447370451464945
IL6ST,IL6ST,0.6113193314557728
IL6ST,IL6ST,0.6585950167211994
IL6ST,IL6ST,0.6414847049634808
IL6ST,IL6ST,0.6577637450456103
IL6ST,IL6ST,0.6048521152166766
IL6ST,IL6ST,0.6412249335661456
IL6ST,IL6ST,0.6617500405768845
IL6ST,IL6ST,0.710531846609745
IL6ST,IL6ST,0.6513464782418693
IL6ST,IL6ST,0.6180938035905861
IL6ST,IL6ST,0.6664774014587763
IL6ST,IL6ST,0.6136057549895344
IL6ST,IL6ST,0.603530383353763
IL6ST,IL6ST,0.6132770056751036
IL6ST,IL6ST,0.6258648435336233
IL6ST,IL6ST,0.6454427679446919
IL6ST,IL6ST,0.6451236458766263
IL6ST,IL6ST,0.6035906879363234
IL6ST,IL6ST,0.6326656639241985
IL6ST,IL6ST,0.6466676651173098
IL6ST,IL6ST,0.6306626962993553
IL6ST,IL6ST,0.6101819365293365
IL6ST,IL6ST,0.6033824949141171
IL6ST,IL6ST,0.6657383263199171
IL6ST,IL6ST,0.6339444210749543
IL6ST,IL6ST,0.6175510669819722
IL6ST,IL6ST,0.6053029422186761
IL6ST,IL6ST,0.6722909597073841
IL6ST,IL6ST,0.6748826072778455
IL6ST,IL6ST,0.625562720024313
IL6ST,IL6ST,0.6394504581662576
IL6ST,IL6ST,0.6910606713070926
IL6ST,IL6ST,0.6250384519302968
IL6ST,IL6ST,0.6205744402882929
IL6ST,IL6ST,0.6544279650308976
IL6ST,IL6ST,0.6249802014925477
IL6ST,IL6ST,0.6610525902288156
IL6ST,IL6ST,0.6007130328601045
IL6ST,IL6ST,0.6624015687547162
IL6ST,IL6ST,0.6299549671433234
IL6ST,IL6ST,0.6186866359614842
IL6ST,IL6ST,0.6273491501555221
IL6ST,IL6ST,0.6155651521803432
IL6ST,IL6ST,0.6877236541451883
IL6ST,IL6ST,0.6396694325716605
IL6ST,IL6ST,0.6041046722842909
IL6ST,IL6ST,0.7173919675004679
IL6ST,IL6ST,0.6029455819067776
IL6ST,IL6ST,0.6197622028836816
IL6ST,IL6ST,0.6203639336911342
IL6ST,IL6ST,0.6366362476106826
IL6ST,IL6ST,0.6347336530555562
IL6ST,IL6ST,0.6368962314299459
IL6ST,IL6ST,0.6436960701199097
IL6ST,IL6ST,0.6501218170903462
IL6ST,IL6ST,0.7152585112289069
IL6ST,IL6ST,0.6056815330207127
IL6ST,IL6ST,0.6313281721578442
IL6ST,IL6ST,0.6201240294401289
IL6ST,IL6ST,0.6178983839535481
IL6ST,IL6ST,0.6468497645913727
IL6ST,IL6ST,0.7045177114282889
IL6ST,IL6ST,0.7015361866658348
IL6ST,IL6ST,0.6520453675788951
IL6ST,IL6ST,0.6241261685728783
IL6ST,IL6ST,0.6328345510528234
IL6ST,IL6ST,0.6610769086046581
IL6ST,IL6ST,0.6274133629966498
IL6ST,IL6ST,0.6338037357999395
IL6ST,IL6ST,0.6536834600924651
IL6ST,IL6ST,0.6743014403605574
IL6ST,IL6ST,0.6070177843453374
IL6ST,IL6ST,0.6036858469365335
IL6ST,IL6ST,0.6293804414891125
IL6ST,IL6ST,0.6025723188657677
IL6ST,IL6ST,0.6012059766604994
IL6ST,IL6ST,0.7223610527456206
IL6ST,IL6ST,0.6911165890231846
IL6ST,IL6ST,0.6319916623587573
IL6ST,IL6ST,0.6213401786965349
IL6ST,IL6ST,0.6322216691333402
IL6ST,IL6ST,0.6675556906942096
IL6ST,IL6ST,0.6154240150179814
IL6ST,IL6ST,0.6301046518465728
IL6ST,IL6ST,0.6104967810421781
IL6ST,IL6ST,0.6314125669989258
IL6ST,IL6ST,0.6114333247394301
IL6ST,IL6ST,0.7080018097764281
IL6ST,IL6ST,0.634503356905157
IL6ST,IL6ST,0.6467580830779189
IL6ST,IL6ST,0.6644796678644233
IL6ST,IL6ST,0.6104891051379658
IL6ST,IL6ST,0.6959125623219955
IL6ST,IL6ST,0.7302685999168123
IL6ST,IL6ST,0.6157007866585918
IL6ST,IL6ST,0.6208961350308482
IL6ST,IL6ST,0.644470500621811
IL6ST,IL6ST,0.6047726243661175
IL6ST,IL6ST,0.6189321432389728
